equipo_tag,temp_motor_c,presion_hidraulica_psi,vibracion_rodamientos_mm_s,presion_aceite_psi,temp_refrigerante_c,rpm_motor,voltaje_sistema_v,corriente_a,desgaste_componente_hrs,falla_maquina,tipo_falla
PALA-02,75.3,3139.09,2.96,54.79,86.86,1526.4,26.36,188.58,1050.9,0,NORMAL
CARG-02,76.94,3179.32,2.02,44.45,79.09,1656.2,27.5,151.76,2822.7,0,NORMAL
CARG-01,83.75,3064.27,2.17,58.65,85.93,1814.9,24.8,153.93,3149.1,0,NORMAL
PALA-03,76.72,3089.93,1.37,41.22,72.3,1767.7,25.35,152.13,2415.8,0,NORMAL
PALA-01,87.01,3328.19,0.99,52.51,82.19,1553.9,27.85,154.58,255.6,0,NORMAL
PALA-01,81.68,3273.69,1.24,61.72,87.42,1488.5,26.08,177.39,3454.6,0,NORMAL
PALA-01,82.39,3338.49,1.47,57.6,81.4,1589.3,26.64,149.33,1974.3,0,NORMAL
CARG-02,80.75,3288.52,0.95,46.35,80.24,1458.6,27.4,170.79,2904.7,0,NORMAL
PALA-03,85.48,3376.78,1.54,47.3,80.22,1731.0,26.67,196.54,2538.0,0,NORMAL
CARG-01,85.52,3408.08,1.85,51.01,86.87,1664.9,27.13,211.73,1206.7,0,NORMAL
PALA-01,83.51,2936.49,3.23,54.39,74.63,1674.1,26.89,128.41,3216.7,0,NORMAL
CARG-02,103.44,3096.22,2.81,58.38,98.05,1781.2,27.19,195.73,1101.6,1,FALLA_TERMICA
CARG-01,81.05,3208.35,2.7,57.02,84.37,1824.8,26.79,199.66,3430.1,0,NORMAL
PALA-01,84.44,3245.92,1.01,48.71,82.27,1748.6,26.98,204.15,3444.8,0,NORMAL
PALA-01,80.48,3129.38,2.61,57.09,85.75,1693.3,25.94,161.72,199.0,0,NORMAL
PALA-01,82.01,3414.16,1.02,57.63,83.73,1635.7,26.82,151.63,495.9,0,NORMAL
PALA-02,80.76,3606.39,3.19,56.44,79.11,1677.9,26.37,105.93,858.7,0,NORMAL
PALA-03,79.94,3283.51,1.53,66.39,83.33,1744.9,26.33,163.48,1324.0,0,NORMAL
PALA-02,78.9,3265.18,0.97,57.63,75.72,1831.1,25.06,222.38,2304.4,0,NORMAL
PALA-02,84.1,3402.9,2.51,58.84,72.93,1553.3,26.06,171.0,1309.7,0,NORMAL
PALA-03,87.9,2914.15,2.78,63.38,78.55,1584.6,26.29,152.45,3283.8,0,NORMAL
